Dates,bitcoin_cash_currencies,bitcoin_currencies,bitcoin_gold,cardano,dash,ethereum_classic,ethereum_currencies,monero,neo,ripple_currencies
2018-12-31,151.05,3742.7,12.64,0.041063,79.06,5.05,133.37,46.23,7.53,0.352706
2018-12-30,163.62,3865.95,13.7,0.04328,81.79,5.31,139.86,48.36,8.12,0.369581
2018-12-29,165.06,3820.41,14.1,0.041508,80.35,5.19,138.02,48.11,7.97,0.367252
2018-12-28,174.0,3923.92,14.61,0.041862,83.82,5.28,137.65,49.77,7.98,0.376852
2018-12-27,150.13,3654.83,13.6,0.036944,76.4,4.82,116.58,44.47,6.96,0.341162
2018-12-26,175.51,3857.3,14.66,0.041198,84.55,5.53,131.87,49.37,7.88,0.378693
2018-12-25,170.91,3815.49,14.36,0.041511,83.96,4.73,129.84,50.59,7.69,0.380872
2018-12-24,182.26,4078.6,15.37,0.045716,92.44,5.16,140.24,56.34,8.49,0.406799
2018-12-23,197.66,3998.98,15.4,0.04423,90.23,4.95,130.77,52.76,7.7,0.37127
2018-12-22,196.67,4014.18,15.03,0.042009,87.58,4.7,116.76,51.73,7.11,0.362308
2018-12-21,194.3,3896.54,14.52,0.040796,85.62,4.55,109.5,51.82,6.93,0.35857
2018-12-20,194.23,4134.44,15.06,0.039401,99.23,4.79,116.22,55.08,7.29,0.378199
2018-12-19,128.45,3745.95,13.0,0.034545,74.42,4.42,101.27,46.31,6.71,0.351956
2018-12-18,105.2,3696.06,12.82,0.034735,73.5,4.2,101.11,46.58,6.81,0.350162
2018-12-17,90.35,3545.86,12.46,0.032824,71.28,4.01,95.13,43.82,6.57,0.328453
2018-12-16,81.64,3252.84,11.16,0.029103,63.14,3.64,85.26,39.34,5.71,0.287929
2018-12-15,77.37,3236.76,12.05,0.028274,62.49,3.64,84.44,38.85,5.65,0.285883
2018-12-14,80.37,3242.48,10.9,0.028358,59.69,3.72,84.31,39.28,5.65,0.28879
2018-12-13,90.3,3313.68,11.35,0.02919,61.21,3.88,86.54,40.96,5.73,0.300026
2018-12-12,102.59,3486.95,11.96,0.030609,65.48,3.91,90.59,43.94,6.05,0.307323
2018-11-12,102.07,3424.59,11.5,0.029551,64.11,3.74,88.95,42.74,5.85,0.301345
2018-10-12,107.31,3502.66,11.97,0.030203,68.8,3.91,91.69,44.6,6.12,0.303766
2018-09-12,109.62,3614.23,12.53,0.031693,76.51,4.0,95.14,47.75,6.41,0.31337
2018-08-12,104.05,3476.11,12.0,0.030678,69.09,3.86,92.16,45.57,6.05,0.307269
2018-07-12,106.85,3419.94,12.42,0.029864,67.63,3.84,93.29,46.46,6.08,0.301997
2018-06-12,107.59,3521.1,13.96,0.030798,66.02,3.52,91.76,46.53,6.05,0.310936
2018-05-12,130.54,3753.99,15.29,0.034251,77.9,4.03,102.48,51.67,7.0,0.338242
2018-04-12,149.66,3956.89,16.37,0.037699,85.49,4.41,110.21,56.98,7.61,0.352231
2018-03-12,159.82,3894.13,17.06,0.038671,84.82,4.51,108.93,54.84,7.35,0.348754
2018-02-12,172.11,4139.88,18.14,0.041672,93.04,5.15,116.39,59.1,7.96,0.367627
2018-01-12,172.12,4214.67,18.75,0.041468,95.35,4.85,118.64,59.65,8.19,0.372906
2018-11-30,173.07,4017.27,18.46,0.038916,91.87,4.6,113.17,57.79,7.71,0.362455
2018-11-29,180.98,4278.85,18.87,0.041866,96.66,4.93,117.54,61.2,8.44,0.379562
2018-11-28,190.07,4257.42,19.64,0.042021,99.51,4.99,122.44,63.52,8.39,0.390557
2018-11-27,179.06,3820.72,17.93,0.036461,89.13,4.53,110.01,57.13,7.26,0.360163
2018-11-26,182.04,3779.13,17.78,0.035806,88.93,4.32,108.33,53.22,7.14,0.355451
2018-11-25,184.58,4009.97,19.42,0.037725,91.45,4.76,116.45,58.05,7.71,0.374551
2018-11-24,180.69,3880.76,18.78,0.038458,92.66,4.77,113.49,58.36,7.48,0.375336
2018-11-23,207.43,4347.11,19.54,0.043412,99.32,5.21,123.3,66.63,8.55,0.407428
2018-11-22,211.47,4365.94,19.75,0.044255,103.34,5.34,126.71,65.86,8.41,0.42608
2018-11-21,235.95,4602.17,21.34,0.04778,114.31,5.75,136.7,68.94,9.21,0.447651
2018-11-20,223.7,4451.87,20.56,0.044777,104.58,5.5,130.34,66.49,8.95,0.434726
2018-11-19,336.95,4871.49,25.8,0.052582,109.69,6.2,149.18,72.49,10.17,0.478166
